symbol,name,price,rsi,sma_20,sma_50,vol,adx,signals,signal_count
آتی1,ص.س.ج. یکم آرمان آتی,2000000.0,,,,3500,,VOLUME_SPIKE,1
وآتوسح,ح .گروه سرمایه گذاری توسکا,5000.0,,,,180061809,,VOLUME_SPIKE,1
لوازم مادیران062,مرابحه مادیران-تاک060626,1019100.0,,,,345000,,VOLUME_SPIKE,1
نقشینه061,مرابحه نقشینه چاپ-کارون061020,1000000.0,,,,2000000,,VOLUME_SPIKE,1
عالیفرد071,مرابحه عالیفرد-کاردان070830,1000000.0,,,,890000,,VOLUME_SPIKE,1
کرمان531,مرابحه کرمان موتور-کارون050327,1000000.0,,,,1000000,,VOLUME_SPIKE,1
درهآور,دارویی ره آورد تامین,121600.0,,,,1322584,,VOLUME_SPIKE,1
طبیعت061,مرابحه طبیعت سبز-کاردان060710,1000000.0,,,,1675000,,VOLUME_SPIKE,1
داروک071,مرابحه داروک-کاردان070904,1000000.0,,,,440000,,VOLUME_SPIKE,1
فجهان061,مرابحه جهان فولاد-تمدن060501,902900.0,,,,2200000,,VOLUME_SPIKE,1
وملل,اعتباری ملل,2703.0,97.3913043478261,2211.5,2078.64,13695958,,RSI_OVERBOUGHT,1
آرمان,بیمه آرمان,4645.0,,,,1014198,,VOLUME_SPIKE,1
اوان,مبین وان کیش,8970.0,,,,4176254,,VOLUME_SPIKE,1
سخواف,سیمان مجد خواف,1810.0,,,,1702382,,VOLUME_SPIKE,1
خکاوه,سایپا دیزل,14150.0,,,,21593148,,VOLUME_SPIKE,1
سنوین,سرمایه گذاری اقتصاد نوین,5850.0,,,,777289,,VOLUME_SPIKE,1
غناب,روغن‌ نباتی‌ ناب,756.0,,,,39958904,,VOLUME_SPIKE,1
تکپاد,صندوق س. مشترک آریان-س,12200.0,,,,4639011,,VOLUME_SPIKE,1
کایتا,ایتالران‌,86750.0,,,,121150,,VOLUME_SPIKE,1
زگلدشت,کشت و دام گلدشت نمونه اصفهان,4920.0,23.92638036809815,5414.5,5733.8,162048,,RSI_OVERSOLD,1
غگلستا,شیر پاستوریزه پگاه گلستان,5630.0,27.814569536423832,5938.5,6638.8,1983620,,RSI_OVERSOLD,1
خکرمان,سرمایه گذاری آرمان گستر پاریز,4539.0,26.937835763622417,4864.55,5002.58,13077683,,RSI_OVERSOLD,1
فنفت,صنایع تجهیزات نفت,3752.0,17.346123101518785,4100.2,4531.06,3042164,,RSI_OVERSOLD,1
یارا,صندوق س. آریا-د,22300.0,99.99966346267104,22002.9,21576.88,16614955,,"RSI_OVERBOUGHT, VOLUME_SPIKE",2
صنم,ص.س.صندوق در صندوق صنم,18894.0,26.67967660998049,20803.8,21833.84,924429,,RSI_OVERSOLD,1
ثتران,سرمایه گذاری مسکن تهران,6380.0,14.693877551020407,7301.5,8159.8,441856,,RSI_OVERSOLD,1
وشمال,س. چشم انداز توسعه شمال,29700.0,,,,7988209,,VOLUME_SPIKE,1
بتهران,بیمه اتکایی تهران رواک,1300.0,,,,237175256,,VOLUME_SPIKE,1
اونیکس,ص.س.درآمد ثابت کیمیا-د,15555.0,,,,828181522,,VOLUME_SPIKE,1
تیام,صندوق س.سهامی تیام-س,12898.0,,,,2770225,,VOLUME_SPIKE,1
حرهشا,رهشاد سپاهان (سهامی عام,23200.0,,,,176313,,VOLUME_SPIKE,1
هامون,صندوق س. سهام ثروت هامون-س,10035.0,,,,424282,,VOLUME_SPIKE,1
فبیرا,بسته‌ بندی‌ ایران‌,1482.0,,,,7568408,,VOLUME_SPIKE,1
ولتجار,واسپاری تجارایرانیان,7830.0,,,,15349032,,VOLUME_SPIKE,1
وهنر,گروه توسعه هنر ایران,8490.0,,,,6465512,,VOLUME_SPIKE,1
