symbol1,symbol2,correlation
آریان,توریل,0.7853500632888116
آریان,توریل3,0.7853500632888116
آریان,دی,0.745445791377127
آریان,زنجان,0.884829520442404
آریان,سامان,0.8730603282221938
آریان,شلرد,0.7317091187463038
آریان,نوین,0.8190232457609002
آریان,وملل,0.8749590182830059
آریان,کیسون,0.7927602775690178
آسامید,اوصتا,0.9905803812530527
آسامید,اونیکس,0.9585411401612934
آسامید,خکاوه,0.7462114983685009
آسامید,دامون,0.9440552990995003
آسامید,فاخر,0.9674106319229869
آسامید,نشان,0.9893589921089606
آسامید,پاداش,0.9849736057906285
اوصتا,اونیکس,0.999801273287268
اوصتا,خکاوه,0.7626324485888161
اوصتا,دامون,0.9906565751759272
اوصتا,فاخر,0.9999046304453537
اوصتا,نشان,0.9993879222428802
اوصتا,پاداش,0.9944303353083633
اونیکس,دامون,0.9905845109550321
اونیکس,فاخر,0.9997282339032041
اونیکس,نشان,0.9991256163090089
اونیکس,پاداش,0.9998006450052923
بتهران,میهن,0.7123843373097044
بتهران,میهن3,0.7149622572432189
بجهرم,توریل,0.7101292695944316
بجهرم,توریل3,0.7101292695944316
بجهرم,جهرم,0.8120893305658388
بجهرم,حآسا3,0.8734323322642389
بجهرم,خکرمان,0.7589265364723343
بجهرم,دی,0.725490748608609
بجهرم,زبینا,0.8764949573609258
بجهرم,زقیام,0.7475994179605298
بجهرم,سامان,0.797955509630833
بجهرم,غشهداب,0.8882031347527887
بجهرم,غویتا,0.7848288197942854
بجهرم,فبیرا,0.8253484543995518
بجهرم,لکما,0.8093309339403317
بجهرم,مادیرا,0.8785383177513604
بجهرم,نوین,0.8122690101577124
بجهرم,وآرین,0.8790956739150799
بجهرم,وتعاون,0.7195492023571814
بجهرم,وتعاون3,0.7195492023571814
بجهرم,ومعلم,0.9126640340295443
بجهرم,کرمان,0.7930261546372852
بجهرم,کیسون,0.7762661417182585
بجهرم,گکوثر,0.8073643800688249
توریل,توریل3,1.0
توریل,جهرم,0.8237920255301828
توریل,دی,0.7530447047153542
توریل,زبینا,0.7826746016051772
توریل,زقیام,0.8663478461370414
توریل,زنجان,0.9346050708716211
توریل,سامان,0.912367436330917
توریل,غویتا,0.7514222483006168
توریل,لکما,0.8430231265792976
توریل,نوین,0.9303979937901747
توریل,وآرین,0.8681345141562171
توریل,وتعاون,0.9220958016395304
توریل,وتعاون3,0.9220958016395304
توریل,ورازی,0.757066679450255
توریل,ولشرق,0.7897215986938279
توریل,ولشرق3,0.7897215986938279
توریل,ومعلم,0.7244829390901116
توریل,وملل,0.8904483509786183
توریل,وپویا,0.7005355228476601
توریل,کرمان,0.7134906081744017
توریل,کیسون,0.8713841336798376
توریل3,جهرم,0.8237920255301828
توریل3,دی,0.7530447047153542
توریل3,زبینا,0.7826746016051772
توریل3,زقیام,0.8663478461370414
توریل3,زنجان,0.9346050708716211
توریل3,سامان,0.912367436330917
توریل3,غویتا,0.7514222483006168
توریل3,لکما,0.8430231265792976
توریل3,نوین,0.9303979937901747
توریل3,وآرین,0.8681345141562171
توریل3,وتعاون,0.9220958016395304
توریل3,وتعاون3,0.9220958016395304
توریل3,ورازی,0.757066679450255
توریل3,ولشرق,0.7897215986938279
توریل3,ولشرق3,0.7897215986938279
توریل3,ومعلم,0.7244829390901116
توریل3,وملل,0.8904483509786183
توریل3,وپویا,0.7005355228476601
توریل3,کرمان,0.7134906081744017
توریل3,کیسون,0.8713841336798376
ثتران,ثغرب,0.8720135162250863
ثتران,خکرمان,0.8415604364342613
ثتران,میهن,0.7332475035246724
ثتران,میهن3,0.7332514371753822
ثتران,وآرین,0.7105182674512066
ثغرب,خکاوه,0.741662870116779
ثغرب,خکرمان,0.7732120827654114
ثغرب,شلرد,0.7164244757520155
ثغرب,میهن,0.7299839166504829
ثغرب,میهن3,0.7299374118526042
ثغرب,وشهر,0.7896505797305124
جهرم,حآسا3,0.8457169616224631
جهرم,دی,0.8462693456560528
جهرم,زبینا,0.8851588784677017
جهرم,زقیام,0.8648134170064818
جهرم,زنجان,0.7674916844726106
جهرم,سامان,0.8769149199580205
جهرم,غویتا,0.8895561337374613
جهرم,لکما,0.922111645882295
جهرم,مادیرا,0.8767089489502583
جهرم,نوین,0.8773565105940717
جهرم,وآرین,0.880727381129317
جهرم,وتعاون,0.8905216374197318
جهرم,وتعاون3,0.8905216374197318
جهرم,ورازی,0.7933880198458312
جهرم,ولشرق,0.7656767176331578
جهرم,ولشرق3,0.7656767176331578
جهرم,ومعلم,0.844278807198384
جهرم,وملل,0.785659338072046
جهرم,وپویا,0.8684220030429975
جهرم,کرمان,0.8638208970190489
جهرم,کیسون,0.9035695495541956
جهرم,گکوثر,0.8013791172176786
حآسا3,دی,0.9227775826303252
حآسا3,زبینا,0.9578568685631238
حآسا3,زقیام,0.7753035652063677
حآسا3,سامان,0.7891621636986726
حآسا3,غشهداب,0.7239104285432663
حآسا3,غویتا,0.8902356563569226
حآسا3,لکما,0.8733740033561749
حآسا3,مادیرا,0.8953787585864684
حآسا3,نوین,0.7828736549600239
حآسا3,وآرین,0.8166209001108264
حآسا3,وتعاون,0.7212204157615895
حآسا3,وتعاون3,0.7212204157615895
حآسا3,ومعلم,0.899474302355557
حآسا3,وپویا,0.7541221730896958
حآسا3,کرمان,0.8502265135603889
حآسا3,کیسون,0.851753681417344
حآسا3,گکوثر,0.9698574716580113
خصدرا,خودرو,0.7429929888842404
خصدرا,وپویا,0.8272706268466692
خودرو,موج,0.8959113663021655
خکاوه,میهن,0.774249071798384
خکاوه,میهن3,0.774231548610427
خکاوه,وشهر,0.7803871089391988
